"payment_id","customer_id","staff_id","rental_id","amount","random_date"
17573,358,1,2749,"2.99","2023-08-31"
17574,358,1,3245,"2.99","2023-03-22"
17575,359,2,1329,"4.99","2022-03-17"
17576,359,2,1770,"1.99","2021-01-04"
17577,359,1,2401,"0.99","2023-02-07"
17578,359,1,2736,"4.99","2021-01-14"
17579,360,2,1492,"0.99","2020-04-06"
17580,360,2,2402,"6.99","2022-08-31"
17581,360,2,2541,"3.99","2021-05-24"
17582,360,2,2780,"6.99","2021-04-24"
17583,361,2,2353,"4.99","2021-12-12"
17584,361,2,2558,"1.99","2022-06-04"
17585,361,1,2851,"2.99","2020-03-25"
17586,361,2,3303,"2.99","2020-09-24"
17587,362,1,1429,"2.99","2021-11-09"
17588,362,1,1529,"2.99","2023-05-11"
17589,362,1,1615,"2.99","2023-01-24"
17590,362,2,3197,"2.99","2021-06-19"
17591,362,2,3393,"2.99","2021-04-23"
17592,363,2,1426,"4.99","2023-02-24"
17593,363,2,1569,"4.99","2022-09-09"
17594,363,1,1847,"4.99","2022-06-29"
17595,363,1,2540,"4.99","2023-02-20"
17596,363,2,3281,"2.99","2020-10-28"
17597,364,1,1722,"2.99","2022-05-08"
17598,364,2,2442,"2.99","2021-06-15"
17599,364,2,2606,"4.99","2022-06-06"
17600,364,2,2857,"4.99","2023-07-30"
17601,364,2,2962,"3.99","2023-11-27"
17602,365,1,1303,"1.99","2023-01-13"
17603,365,1,1578,"6.99","2022-10-30"
17604,365,1,1983,"4.99","2022-12-10"
17605,365,1,2525,"2.99","2023-02-16"
17606,365,2,3156,"0.99","2021-01-04"
17607,366,2,1401,"1.99","2020-02-23"
17608,366,2,2214,"0.99","2022-01-04"
17609,367,1,3078,"0.99","2022-10-21"
17610,368,1,1186,"0.99","2023-05-10"
17611,368,1,1513,"9.99","2020-02-12"
17612,368,1,2531,"4.99","2021-11-06"
17613,368,1,2694,"4.99","2020-09-17"
17614,368,1,2744,"4.99","2020-02-22"
17615,368,2,3275,"4.99","2021-07-17"
17616,369,1,1224,"0.99","2023-03-08"
17617,370,2,1190,"6.99","2022-04-09"
17618,371,2,1212,"2.99","2023-03-27"
17619,371,1,1218,"1.99","2023-06-09"
17620,371,1,1573,"6.99","2022-02-27"
17621,371,2,1675,"5.99","2022-05-16"
17622,371,2,2837,"0.99","2022-06-27"
17623,371,1,3176,"3.99","2020-06-28"
17624,371,2,3396,"0.99","2023-11-24"
17625,372,1,2315,"2.99","2020-09-23"
17626,372,1,2959,"4.99","2020-11-15"
17627,372,1,3283,"3.99","2021-04-01"
17628,373,1,1472,"6.99","2021-08-22"
17629,373,1,3161,"2.99","2021-06-13"
17630,374,1,1548,"1.99","2020-09-09"
17631,374,2,2046,"1.99","2020-01-08"
17632,374,2,2487,"4.99","2021-09-23"
17633,374,2,2641,"2.99","2021-02-27"
17634,375,2,1404,"2.99","2023-10-02"
17635,375,1,1499,"5.99","2020-08-08"
17636,375,1,2236,"4.99","2021-06-06"
17637,376,2,1208,"0.99","2021-12-04"
17638,376,1,2779,"0.99","2021-04-05"
17639,377,2,2556,"3.99","2023-11-04"
17640,377,1,3080,"1.99","2021-02-24"
17641,377,2,3086,"0.99","2021-02-06"
17642,377,2,3136,"2.99","2023-01-01"
17643,377,2,3443,"4.99","2022-01-21"
17644,378,2,1623,"4.99","2023-05-21"
17645,378,1,1662,"5.99","2022-06-09"
17646,378,2,2134,"7.99","2023-01-15"
17647,378,2,2713,"4.99","2022-05-28"
17648,379,1,1383,"8.99","2021-04-26"
17649,379,1,2313,"5.99","2020-02-13"
17650,379,1,2926,"2.99","2020-11-30"
17651,380,1,1868,"3.99","2023-06-11"
17652,380,1,1984,"2.99","2022-07-15"
17653,380,1,2018,"3.99","2022-05-22"
17654,380,1,2440,"2.99","2020-07-07"
17655,380,1,2464,"4.99","2023-04-26"
17656,380,2,2998,"1.99","2021-03-06"
17657,380,2,3099,"1.99","2020-04-10"
17658,380,1,3260,"4.99","2022-04-05"
17659,381,1,1402,"3.99","2022-10-26"
17660,381,1,1878,"1.99","2021-09-18"
17661,381,2,2410,"2.99","2022-05-19"
17662,381,1,2418,"4.99","2023-09-26"
17663,381,2,3425,"2.99","2021-08-06"
17664,382,1,2389,"0.99","2023-02-03"
17665,382,1,2468,"4.99","2020-12-16"
17666,382,1,2489,"1.99","2023-03-01"
17667,382,1,2514,"2.99","2023-10-09"
17668,382,2,3125,"4.99","2023-11-02"
17669,383,1,1831,"7.99","2023-08-02"
17670,383,2,2228,"2.99","2023-09-28"
17671,383,1,2252,"2.99","2021-03-07"
17672,383,2,2318,"2.99","2023-12-28"
17673,383,1,2609,"7.99","2023-07-06"
17674,383,1,3091,"2.99","2021-12-05"
17675,384,1,1961,"0.99","2020-11-14"
17676,384,2,2020,"0.99","2023-08-01"
17677,384,1,2378,"7.99","2022-11-05"
17678,384,2,2510,"5.99","2021-03-31"
17679,384,2,2935,"3.99","2021-07-18"
17680,384,1,3088,"9.99","2020-04-16"
17681,384,2,3101,"4.99","2023-05-26"
17682,385,1,1746,"2.99","2023-11-12"
17683,385,1,1937,"0.99","2021-05-16"
17684,385,1,3105,"0.99","2022-08-15"
17685,386,2,1585,"3.99","2022-07-14"
17686,386,1,1608,"2.99","2022-06-04"
17687,386,2,1819,"5.99","2023-05-31"
17688,386,1,2732,"0.99","2020-05-13"
17689,386,1,3351,"2.99","2023-03-08"
17690,387,1,1464,"0.99","2022-06-04"
17691,387,2,1465,"0.99","2021-10-16"
17692,387,1,2068,"0.99","2021-01-18"
17693,387,2,2100,"0.99","2022-09-12"
17694,387,2,2981,"5.99","2020-02-17"
17695,387,2,3378,"4.99","2021-05-13"
17696,388,2,1276,"6.99","2023-10-10"
17697,388,1,2145,"0.99","2021-10-23"
17698,388,1,2537,"5.99","2023-04-15"
17699,388,1,2692,"4.99","2021-10-29"
17700,388,2,3159,"7.99","2022-11-30"
17701,389,1,1763,"4.99","2022-08-10"
17702,389,1,1946,"4.99","2021-12-20"
17703,389,1,2552,"3.99","2023-03-02"
17704,390,2,1539,"5.99","2020-10-09"
17705,390,2,1730,"2.99","2023-11-17"
17706,390,2,1893,"2.99","2020-08-17"
17707,390,1,2330,"7.99","2023-08-08"
17708,390,1,3147,"5.99","2021-09-06"
17709,391,2,1232,"0.99","2023-03-10"
17710,391,2,1931,"0.99","2022-04-03"
17711,391,1,2045,"2.99","2020-06-28"
17712,391,1,2690,"2.99","2021-01-11"
17713,391,2,3163,"2.99","2022-08-11"
17714,392,2,1530,"6.99","2021-02-05"
17715,392,2,1764,"2.99","2021-06-07"
17716,392,2,2289,"2.99","2023-01-18"
17717,392,2,2890,"4.99","2022-12-08"
17718,393,1,1611,"6.99","2021-04-10"
17719,393,2,1915,"1.99","2023-07-10"
17720,393,2,2219,"2.99","2022-09-24"
17721,393,1,2319,"4.99","2022-05-26"
17722,393,2,3001,"2.99","2023-12-16"
17723,394,2,1324,"4.99","2022-08-10"
17724,395,1,1270,"0.99","2022-07-13"
17725,395,1,1562,"0.99","2021-03-22"
17726,395,2,1603,"0.99","2020-09-28"
17727,395,1,3030,"4.99","2021-11-15"
17728,395,1,3310,"0.99","2023-07-05"
17729,395,1,3389,"6.99","2020-06-20"
17730,396,2,1370,"1.99","2023-11-14"
17731,396,2,1385,"4.99","2023-07-01"
17732,396,2,1408,"6.99","2023-05-05"
17733,397,1,1769,"5.99","2021-08-20"
17734,397,2,3027,"1.99","2021-04-11"
17735,398,2,1228,"2.99","2021-03-09"
17736,398,1,2087,"6.99","2023-10-01"
17737,398,2,3141,"9.99","2020-11-23"
17738,399,2,2961,"2.99","2023-07-29"
17739,399,1,3036,"5.99","2023-11-22"
17740,400,2,1364,"0.99","2020-01-16"
17741,400,1,1917,"3.99","2020-09-16"
17742,400,2,1923,"6.99","2023-01-26"
17743,402,2,1194,"4.99","2020-07-19"
17744,402,2,2490,"4.99","2021-07-28"
17745,402,2,2913,"2.99","2021-09-21"
17746,403,2,1221,"4.99","2022-01-31"
17747,403,1,1249,"8.99","2020-01-05"
17748,403,2,2488,"3.99","2022-06-21"
17749,403,1,2927,"4.99","2023-09-07"
17750,403,2,3049,"6.99","2022-08-14"
17751,403,1,3356,"5.99","2022-06-21"
17752,404,2,1506,"2.99","2022-01-12"
17753,404,2,1840,"4.99","2020-03-14"
17754,404,1,2715,"4.99","2020-05-13"
17755,404,1,2951,"2.99","2021-12-27"
17756,405,2,1315,"4.99","2020-03-05"
17757,405,1,1888,"0.99","2022-06-06"
17758,405,2,1953,"5.99","2023-12-23"
17759,405,2,2654,"3.99","2021-10-10"
17760,405,1,3240,"4.99","2021-03-11"
17761,405,1,3253,"5.99","2020-02-27"
17762,406,1,2113,"4.99","2022-06-28"
17763,406,2,2150,"3.99","2022-11-27"
17764,406,1,2241,"2.99","2022-05-06"
17765,406,2,2325,"0.99","2023-01-05"
17766,406,2,2585,"0.99","2023-11-21"
17767,406,1,3186,"7.99","2020-03-10"
17768,406,1,3306,"4.99","2020-06-15"
17769,407,1,1698,"2.99","2021-12-08"
17770,407,2,2597,"0.99","2021-06-06"
17771,408,2,2479,"4.99","2021-11-19"
17772,408,1,2564,"2.99","2022-10-17"
17773,408,2,2728,"2.99","2023-03-16"
17774,409,2,1226,"5.99","2021-08-05"
17775,409,2,2310,"8.99","2023-02-05"
17776,410,1,1514,"2.99","2022-12-20"
17777,410,1,2073,"2.99","2022-09-17"
17778,410,1,2255,"4.99","2022-02-26"
17779,410,2,2400,"5.99","2022-07-25"
17780,410,2,2971,"0.99","2023-07-04"
17781,410,1,3249,"4.99","2023-01-25"
17782,411,1,1985,"0.99","2021-08-13"
17783,411,2,1997,"2.99","2020-04-15"
17784,411,2,2712,"0.99","2021-09-10"
17785,412,1,3292,"2.99","2020-06-23"
17786,413,2,2130,"5.99","2023-08-20"
17787,413,2,2545,"4.99","2020-05-20"
17788,414,1,2246,"4.99","2020-04-13"
17789,414,1,2559,"9.99","2020-01-26"
17790,414,1,3318,"5.99","2021-06-15"
17791,415,2,1867,"4.99","2023-10-06"
17792,415,1,3211,"2.99","2020-10-15"
17793,416,2,1158,"2.99","2021-05-27"
17794,416,1,1343,"4.99","2023-07-21"
17795,416,2,1553,"0.99","2021-09-03"
17796,416,2,1596,"2.99","2020-12-27"
17797,416,2,1771,"0.99","2020-05-20"
17798,417,1,1921,"3.99","2020-05-21"
17799,418,1,2825,"2.99","2020-09-18"
17800,418,2,2943,"2.99","2020-04-03"
17801,418,2,2969,"2.99","2023-06-30"
17802,419,2,2793,"2.99","2023-08-02"
17803,420,2,2672,"3.99","2020-07-21"
17804,420,1,2698,"0.99","2023-03-05"
17805,420,1,2726,"0.99","2020-03-06"
17806,421,1,1693,"4.99","2023-12-09"
17807,421,2,2407,"2.99","2021-01-13"
17808,421,1,3170,"4.99","2023-09-18"
17809,422,1,1846,"0.99","2021-05-20"
17810,422,1,1897,"4.99","2022-11-29"
17811,422,2,2747,"2.99","2022-06-18"
17812,422,1,2778,"5.99","2023-01-21"
17813,423,1,1504,"3.99","2022-08-17"
17814,423,2,1827,"0.99","2020-11-24"
17815,423,1,2600,"6.99","2020-06-14"
17816,423,2,2758,"6.99","2020-11-26"
17817,423,1,3072,"8.99","2022-09-14"
17818,424,2,3044,"4.99","2021-10-05"
17819,424,1,3166,"6.99","2023-11-08"
17820,424,2,3404,"0.99","2020-08-26"
17821,425,1,3276,"6.99","2023-03-10"
17822,426,1,1709,"6.99","2021-12-28"
17823,426,1,1842,"7.99","2020-04-16"
17824,426,1,2204,"2.99","2022-03-30"
17825,426,1,2804,"0.99","2021-10-12"
17826,426,1,3243,"0.99","2023-05-03"
17827,427,1,1342,"5.99","2022-12-21"
17828,427,2,1628,"3.99","2021-05-30"
17829,427,1,1648,"5.99","2020-06-30"
17830,427,1,1857,"1.99","2020-07-09"
17831,427,2,2466,"0.99","2020-08-22"
17832,428,1,1227,"3.99","2022-12-31"
17833,428,2,1471,"2.99","2022-07-04"
17834,428,1,1601,"3.99","2020-10-12"
17835,428,1,2677,"2.99","2023-01-27"
17836,428,2,3377,"0.99","2021-08-26"
17837,429,2,1781,"5.99","2022-09-10"
17838,429,2,1798,"2.99","2021-09-24"
17839,429,2,1916,"7.99","2020-08-14"
17840,429,1,3409,"2.99","2022-03-04"
17841,430,2,1207,"0.99","2021-12-27"
17842,430,1,1274,"2.99","2023-10-08"
17843,430,1,1538,"2.99","2020-01-10"
17844,430,1,1759,"6.99","2021-08-01"
17845,430,2,2892,"0.99","2020-11-26"
17846,430,2,3153,"0.99","2021-02-21"
17847,431,2,1561,"2.99","2020-04-11"
17848,431,1,2096,"4.99","2021-04-28"
17849,431,1,2269,"3.99","2022-04-30"
17850,431,2,2281,"4.99","2022-08-12"
17851,431,2,2761,"2.99","2021-07-07"
17852,431,2,3304,"6.99","2023-12-22"
17853,431,2,3369,"8.99","2023-09-06"
17854,432,2,1180,"5.99","2020-01-09"
17855,432,2,1597,"2.99","2022-04-14"
17856,432,2,3194,"4.99","2023-12-27"
17857,434,1,1225,"0.99","2021-10-30"
17858,434,2,1584,"5.99","2021-03-23"
17859,434,2,2415,"7.99","2023-04-10"
17860,434,1,2430,"3.99","2021-04-11"
17861,434,1,2494,"3.99","2021-06-13"
17862,434,1,3014,"2.99","2021-08-25"
17863,434,2,3037,"2.99","2021-12-01"
17864,435,2,1443,"0.99","2023-12-09"
17865,435,1,2984,"0.99","2022-03-20"
17866,436,1,2291,"9.99","2021-09-22"
17867,437,2,2239,"5.99","2020-11-10"
17868,437,1,2792,"2.99","2022-11-11"
17869,437,2,3265,"2.99","2023-04-30"
17870,438,1,1431,"4.99","2022-03-14"
17871,438,2,1779,"0.99","2022-07-01"
17872,438,2,2206,"0.99","2020-04-02"
17873,438,1,2591,"4.99","2022-11-13"
17874,438,1,3315,"4.99","2021-07-27"
17875,438,2,3368,"0.99","2021-05-12"
17876,439,1,1264,"4.99","2022-03-31"
17877,439,2,1557,"0.99","2021-08-08"
17878,439,2,2097,"4.99","2022-10-25"
17879,439,1,2621,"2.99","2021-01-26"
17880,439,1,2992,"2.99","2021-05-24"
17881,439,1,3294,"6.99","2023-02-04"
17882,441,1,1602,"4.99","2023-08-24"
17883,441,2,2328,"4.99","2021-11-14"
17884,442,1,1251,"5.99","2020-08-28"
17885,442,2,1358,"0.99","2021-05-14"
17886,442,2,1576,"8.99","2020-01-24"
17887,442,1,1774,"2.99","2021-12-19"
17888,443,1,2871,"2.99","2023-08-10"
17889,444,1,1239,"0.99","2022-09-22"
17890,444,2,1397,"3.99","2020-09-20"
17891,444,2,1441,"1.99","2022-06-01"
17892,444,1,2551,"4.99","2023-03-19"
17893,444,2,3301,"7.99","2022-09-28"
17894,444,2,3415,"5.99","2020-11-30"
17895,446,1,2248,"4.99","2022-08-12"
17896,446,2,2335,"3.99","2020-02-20"
17897,446,2,2520,"6.99","2022-07-28"
17898,446,2,2710,"0.99","2023-10-04"
17899,446,1,3060,"2.99","2021-11-24"
17900,446,2,3168,"0.99","2020-12-28"
17901,447,2,1230,"0.99","2022-04-07"
17902,447,2,1890,"2.99","2022-01-26"
17903,447,1,2025,"4.99","2022-11-07"
17904,447,2,2285,"4.99","2020-06-28"
17905,448,1,1313,"5.99","2021-06-07"
17906,448,2,1823,"7.99","2020-09-30"
17907,448,2,2697,"0.99","2021-07-15"
17908,448,2,3225,"3.99","2022-04-14"
17909,448,2,3347,"5.99","2020-08-24"
17910,449,2,1295,"4.99","2020-03-17"
17911,449,1,2348,"0.99","2023-04-07"
17912,449,2,2970,"2.99","2020-12-25"
17913,450,2,1639,"4.99","2021-08-06"
17914,450,1,1739,"0.99","2023-12-27"
17915,450,2,1914,"2.99","2021-08-08"
17916,450,2,2278,"0.99","2020-10-21"
17917,450,1,2501,"4.99","2021-02-02"
17918,450,1,2626,"2.99","2023-09-13"
17919,450,1,3155,"4.99","2020-03-27"
17920,451,1,1202,"0.99","2023-04-08"
17921,451,1,1851,"0.99","2021-06-16"
17922,451,1,1940,"6.99","2023-11-01"
17923,451,1,2671,"1.99","2020-07-12"
17924,451,1,2909,"3.99","2023-12-23"
17925,451,2,2917,"0.99","2023-01-28"
17926,451,1,3316,"6.99","2020-08-07"
17927,452,2,1203,"4.99","2022-09-13"
17928,452,1,1512,"5.99","2023-11-28"
17929,452,1,1794,"3.99","2022-06-29"
17930,452,1,2263,"0.99","2021-11-26"
17931,452,2,2266,"4.99","2020-07-11"
17932,452,1,2504,"0.99","2020-09-24"
17933,452,2,2661,"0.99","2022-07-30"
17934,453,2,2852,"5.99","2021-11-28"
17935,453,1,2853,"7.99","2021-05-18"
17936,453,2,2887,"4.99","2022-11-15"
17937,454,2,1647,"4.99","2023-02-19"
17938,454,2,1844,"7.99","2020-06-30"
17939,454,1,1861,"1.99","2023-06-17"
17940,454,1,1938,"4.99","2020-12-09"
17941,454,2,2048,"5.99","2023-12-20"
17942,454,2,2182,"5.99","2020-06-26"
17943,454,1,2437,"2.99","2023-11-14"
17944,454,2,2666,"9.99","2022-09-06"
17945,454,1,3221,"2.99","2020-10-28"
17946,454,1,3362,"4.99","2023-02-19"
17947,455,2,1382,"1.99","2022-09-12"
17948,455,1,1802,"1.99","2023-05-07"
17949,455,1,1906,"2.99","2021-02-03"
17950,455,2,2356,"0.99","2020-01-09"
17951,456,1,1288,"2.99","2020-04-26"
17952,456,1,1700,"0.99","2022-10-15"
17953,456,2,2103,"5.99","2021-01-02"
17954,456,2,2146,"6.99","2021-04-24"
17955,456,1,2192,"4.99","2023-06-11"
17956,456,1,2404,"0.99","2021-10-20"
17957,456,1,2581,"2.99","2020-09-29"
17958,457,2,1453,"4.99","2021-06-28"
17959,457,2,1727,"0.99","2021-08-12"
17960,457,1,2030,"0.99","2022-09-23"
17961,457,1,2172,"7.99","2020-05-10"
17962,457,1,2670,"4.99","2020-12-14"
17963,457,1,2762,"3.99","2023-04-01"
17964,457,1,2811,"0.99","2023-07-01"
17965,457,2,3115,"2.99","2020-05-10"
17966,457,2,3184,"2.99","2020-01-18"
17967,458,2,2629,"5.99","2021-07-02"
17968,458,2,3322,"0.99","2023-11-18"
17969,459,2,1876,"0.99","2021-03-26"
17970,459,2,1977,"2.99","2023-12-17"
17971,459,2,2075,"4.99","2023-10-10"
17972,459,1,2899,"0.99","2022-10-05"
17973,459,2,3041,"4.99","2023-12-22"
17974,459,2,3045,"0.99","2021-02-20"
17975,459,2,3234,"9.99","2023-06-08"
17976,460,2,1392,"0.99","2023-03-13"
17977,461,2,3127,"5.99","2021-11-08"
17978,461,2,3319,"4.99","2022-05-03"
17979,462,2,1773,"5.99","2023-03-21"
17980,462,2,1926,"9.99","2021-12-11"
17981,462,1,3279,"4.99","2020-07-25"
17982,463,1,1284,"2.99","2022-11-27"
17983,463,2,2527,"4.99","2023-12-16"
17984,463,1,3217,"2.99","2022-09-30"
17985,463,1,3309,"4.99","2022-08-11"
17986,464,2,1277,"4.99","2023-09-22"
17987,464,1,3167,"2.99","2021-03-13"
17988,465,1,1337,"2.99","2020-03-14"
17989,465,1,2079,"4.99","2023-10-02"
17990,465,1,2159,"8.99","2021-10-09"
17991,465,2,2524,"0.99","2021-08-25"
17992,466,2,1808,"7.99","2020-12-10"
17993,466,2,2446,"8.99","2020-01-19"
17994,466,1,3022,"3.99","2022-06-22"
17995,466,2,3237,"4.99","2021-02-28"
17996,466,2,3343,"2.99","2022-03-01"
17997,467,1,1737,"8.99","2023-06-16"
17998,467,2,2121,"4.99","2023-05-22"
17999,467,2,2870,"9.99","2022-08-30"
18000,467,1,3250,"6.99","2021-08-28"
18001,468,2,1229,"2.99","2020-11-22"
18002,468,1,1627,"8.99","2021-05-12"
18003,468,1,1821,"2.99","2021-04-05"
18004,468,1,1975,"2.99","2023-08-31"
18005,468,2,2462,"4.99","2022-11-22"
18006,468,1,2831,"0.99","2020-06-30"
18007,469,2,1399,"0.99","2023-05-02"
18008,469,1,1680,"9.99","2021-04-27"
18009,470,2,1256,"0.99","2020-12-20"
18010,470,1,1283,"0.99","2020-01-10"
18011,470,2,1594,"7.99","2023-05-30"
18012,471,1,1447,"4.99","2022-12-27"
18013,471,2,1449,"2.99","2020-02-27"
18014,471,2,2165,"2.99","2020-04-16"
18015,471,2,2350,"4.99","2021-10-14"
18016,471,2,3073,"4.99","2021-07-15"
18017,472,1,1389,"4.99","2020-04-21"
18018,472,2,1776,"6.99","2020-07-27"
18019,472,1,2538,"5.99","2023-06-10"
18020,472,1,2974,"0.99","2023-08-25"
18021,472,1,2991,"4.99","2020-01-06"
18022,472,1,3254,"0.99","2022-07-12"
18023,473,2,1748,"0.99","2022-10-26"
18024,473,1,2125,"2.99","2023-12-26"
18025,473,2,2553,"4.99","2023-04-21"
18026,473,2,2748,"4.99","2022-04-10"
18027,474,1,1758,"8.99","2020-08-11"
18028,474,2,2944,"7.99","2020-06-29"
18029,476,1,1682,"3.99","2021-04-29"
18030,476,1,2080,"0.99","2023-05-18"
18031,476,2,2508,"4.99","2023-07-23"
18032,476,2,3448,"2.99","2022-01-18"
18033,477,1,1714,"6.99","2020-11-11"
18034,477,1,2187,"2.99","2020-10-12"
18035,477,1,2306,"10.99","2021-05-06"
18036,477,2,2676,"4.99","2023-04-08"
18037,478,1,1708,"0.99","2021-09-12"
18038,478,2,2358,"4.99","2021-08-27"
18039,478,1,2529,"6.99","2021-06-24"
18040,478,2,2616,"8.99","2022-10-21"
18041,478,2,2765,"4.99","2022-08-16"
18042,478,2,3259,"4.99","2022-12-21"
18043,479,1,1902,"2.99","2021-11-18"
18044,479,2,1947,"3.99","2022-01-15"
18045,479,2,1987,"2.99","2020-08-11"
18046,479,2,2071,"3.99","2020-04-01"
18047,479,2,2376,"2.99","2021-12-17"
18048,479,2,2764,"6.99","2020-10-19"
18049,480,1,1353,"0.99","2020-02-25"
18050,480,1,1733,"0.99","2021-12-08"
18051,481,2,1168,"2.99","2023-09-13"
18052,481,2,2296,"4.99","2021-10-15"
18053,481,2,3285,"4.99","2021-11-25"
18054,481,2,3293,"0.99","2023-03-15"
18055,482,2,3048,"2.99","2023-08-12"
18056,482,2,3255,"0.99","2020-07-01"
18057,483,1,2855,"4.99","2023-01-02"
18058,483,2,2867,"0.99","2023-07-27"
18059,483,1,3380,"8.99","2020-12-17"
18060,484,1,1351,"3.99","2023-12-01"
18061,484,2,1643,"3.99","2020-01-06"
18062,484,1,2015,"4.99","2023-03-13"
18063,484,1,2044,"5.99","2023-09-15"
18064,485,2,1684,"2.99","2021-02-09"
18065,485,1,1721,"8.99","2021-04-18"
18066,486,1,2036,"4.99","2023-08-13"
18067,486,1,2102,"5.99","2021-12-25"
18068,486,2,2566,"2.99","2020-05-18"
18069,486,2,2797,"2.99","2023-08-16"
18070,487,2,3100,"3.99","2020-01-12"
18071,488,2,1655,"3.99","2023-09-17"
18072,488,2,1704,"5.99","2022-08-11"
18073,489,2,1614,"3.99","2021-07-29"
18074,489,1,2201,"0.99","2020-06-03"
18075,489,1,2370,"7.99","2020-06-07"
18076,489,1,2802,"4.99","2020-01-03"
18077,490,1,1665,"3.99","2021-04-26"
18078,491,2,1198,"2.99","2023-11-01"
18079,491,1,1371,"4.99","2021-09-04"
18080,491,2,2026,"4.99","2023-12-06"
18081,491,1,2259,"4.99","2020-02-06"
18082,491,2,2391,"4.99","2020-04-24"
18083,491,2,3031,"4.99","2023-08-21"
18084,491,1,3440,"3.99","2023-12-02"
18085,492,2,1691,"1.99","2021-01-29"
18086,492,2,1855,"4.99","2021-12-25"
18087,492,2,1956,"4.99","2021-02-06"
18088,492,1,3298,"9.99","2022-04-23"
18089,493,2,2109,"3.99","2023-11-06"
18090,493,1,2365,"4.99","2021-08-17"
18091,493,1,2579,"0.99","2021-05-12"
18092,493,1,2864,"2.99","2020-05-04"
18093,494,1,1683,"2.99","2021-04-14"
18094,495,2,2074,"2.99","2022-10-09"
18095,495,1,2349,"4.99","2020-05-28"
18096,495,1,2549,"7.99","2021-08-08"
18097,495,1,3129,"3.99","2022-08-01"
18098,496,1,2567,"2.99","2022-10-17"
18099,497,2,2180,"8.99","2022-07-24"
18100,497,1,2298,"5.99","2023-09-20"
18101,497,1,2406,"2.99","2023-09-20"
18102,497,2,2818,"4.99","2023-11-30"
18103,498,1,1253,"6.99","2022-01-09"
18104,498,1,1782,"2.99","2023-10-04"
18105,498,1,2344,"2.99","2020-07-28"
18106,498,1,2449,"4.99","2021-01-18"
18107,498,1,3098,"0.99","2020-06-09"
18108,498,2,3360,"0.99","2021-08-16"
